model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.787878787878788,0.8704874835309617
RandomForest,0.8156424581005587,0.7903225806451613,0.7101449275362319,0.7480916030534351,0.8382081686429513
